default,de
Staaltje bestellen? Max. 4 per bestelling,Ein Muster bestellen? Maximal 4 pro Bestellung.
Staaltjes,Muster
Yes,Ja
Staaltje 5x5 cm,Muster 5x5 cm
Zo bepaal je de lengte van de traploper,Wie man die Länge des Treppenläufers bestimmt
pop-up traploper tip,Tipp für einen ausklappbaren Treppenläufer
<p>Om de juiste lengte van jouw sisal traploper te bepalen: plak een <strong>plakbandje</strong> langs de <strong>langste route</strong> van de trap (buitenbocht). Haal het plakband los en meet de lengte met een meetlint om de lengte van de traploper te bepalen. <strong>Reken altijd 10% extra om nooit te kort te komen</strong>!</p>,"<p>Um die richtige Länge Ihres Sisal Treppenläufers zu ermitteln: Legen Sie ein Stück Klebeband entlang der längsten Treppenkante (Außenkurve) an. Entfernen Sie das Klebeband und messen Sie die Länge mit einem Maßband, um die benötigte Länge des Treppenläufers zu bestimmen. Geben Sie immer 10 % hinzu, damit Sie auf der sicheren Seite sind!</p>"
Kleur sisal traploper,Farbiger Sisal Treppenläufer
Hooi (1033),Heu (1033)
Mais (1034),Mais (1034)
Rode klei (1039),Roter Lehm (1039)
Beige (1066),Beige (1066)
Karamel (1570),Karamell (1570)
Espresso (1580),Espresso (1580)
Bandsoort,Reifentyp
Transparante afwerking,Transparente Oberfläche
Katoenen,Baumwolle
Chenille,Chenille
Leerlook,Lederoptik
Bandkleur katoen,Bandfarbe Baumwolle
Wit (KP-351),Weiß (KP-351)
Zand (KP-352),Sand (KP-352)
Warm zand (KP-353),Heißer Sand (KP-353)
Pale gold (KP-354),Blassgold (KP-354)
Licht bruin (KP-358),Hellbraun (KP-358)
Bruin (KP-360),Braun (KP-360)
Donkerbruin (KP-361),Dunkelbraun (KP-361)
Donkergrijs / groen (KP-370),Dunkelgrau/grün (KP-370)
Licht grijs (KP-371),Hellgrau (KP-371)
Koel grijs (KP-373),Kühlgrau (KP-373)
Blauw (KP-374),Blau (KP-374)
Dark navy (KP-375),Dunkelblau (KP-375)
Zwart (KP-377),Schwarz (KP-377)
Bandkleur chenille,Bandfarbe Chenille
Crème (CP-451),Creme (CP-451)
Mais (CP-452),Mais (CP-452)
Caramel (CP-453),Karamell (CP-453)
Moss grijs (CP-454),Moosgrau (CP-454)
Houtwolf (CP-455),Timberwolf (CP-455)
Brindle (CP-456),Gestromt (CP-456)
Antelope (CP-457),Antilope (CP-457)
Groen (CP-458),Grün (CP-458)
Verweerd rood (CP-459),Verwittertes Rot (CP-459)
Donkerrood (CP-460),Dunkelrot (CP-460)
Donkerblauw (CP-461),Dunkelblau (CP-461)
Licht zwart (CP-462),Hellschwarz (CP-462)
Donkerzwart (CP-463),Dunkelschwarz (CP-463)
Bandkleur leerlook,Armbandfarbe Lederoptik
(SP-151),(SP-151)
(SP-152),(SP-152)
(SP-153),(SP-153)
(SP-154),(SP-154)
(SP-155),(SP-155)
(SP-156),(SP-156)
(SP-157),(SP-157)
(SP-158),(SP-158)
(SP-159),(SP-159)
(SP-160),(SP-160)
Sisal traploper afmeting,Abmessungen eines Sisal Treppenläufers
Sisal traploper afmeting (transparante afwerking),Abmessungen eines Sisal Treppenläufers (transparente Ausführung)
Lengte,Länge
Breedte,Breite
Sisal traploper afmeting (katoen),Abmessungen eines Treppenläufers aus Sisal (Baumwolle)
Sisal traploper afmeting (chenille),Sisal Treppenläufergröße (Chenille)
Sisal traploper afmeting (leerlook),Abmessungen eines Treppenläufers aus Sisal (Lederoptik)
Kleur sisal vloerbedekking,Farbiger Sisal Teppichboden
Ivoor (8002),Elfenbein (8002)
Beige (8005),Beige (8005)
Gemixt (8006),Gemischt (8006)
Tarwe (8042),Weizen (8042)
Antraciet (8044),Anthrazit (8044)
Taupe (8047),Taupe (8047)
Mokka (8048),Mokka (8048)
Dimensie,Dimension
Maximaal 3.000cm in lengte minimaal 400cm breed,"Maximal 3000 cm lang, minimal 400 cm breit"
Het product opknippen in verschillende coupons?,Das Produkt in verschiedene Coupons aufteilen?
Met coupons bieden we de mogelijkheid om het product op te knippen zodat het makkelijker te verplaatsen en is in te leggen. We nemen contact met je op om de coupon afmetingen te bespreken.,"Mit den Coupons bieten wir die Möglichkeit, das Produkt für einen einfacheren Transport und eine platzsparende Lagerung in Stücke zu schneiden. Wir kontaktieren Sie, um die Coupongröße zu besprechen."
Coupons vraag,Frage zu Gutscheinen
Minimaal 400cm breed en maximaal 3.000cm in lengte.,Mindestens 400 cm breit und maximal 3.000 cm lang.
Vloerkleed grootte,Teppichgröße
Vloerkleed grootte (transparante afwerking),Teppichgröße (transparente Ausführung)
Vloerkleed grootte (katoen),Teppichgröße (Baumwolle)
Vloerkleed grootte (chenille),Teppichgröße (Chenille)
Vloerkleed grootte (leerlook),Teppichgröße (Lederoptik)
Vorm vloerkleed,Form des Teppichs
